,Postcode,Grid Ref,County,District,Ward,District Code,Ward Code,County Code,Constituency,Population,Households,Lower layer super output area,Region,London zone,LSOA Code,MSOA Code,Middle layer super output area,Index of Multiple Deprivation,Postcode district,Average Income,Postcode2
2204,BS13 0LY,ST587676,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,11.0,6.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2205,BS13 0LZ,ST584678,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,22.0,10.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2206,BS13 0NF,ST585672,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,73.0,31.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2207,BS13 0NG,ST586672,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,87.0,33.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2208,BS13 0NH,ST585670,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,56.0,23.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2209,BS13 0NJ,ST585672,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,83.0,26.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2210,BS13 0NL,ST585671,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,54.0,17.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2211,BS13 0NN,ST584672,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,21.0,8.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2212,BS13 0NP,ST584671,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,58.0,21.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2213,BS13 0NQ,ST586671,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,48.0,19.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2214,BS13 0NR,ST585670,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,25.0,8.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2215,BS13 0NS,ST584670,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,40.0,18.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2216,BS13 0NT,ST583670,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,89.0,33.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2217,BS13 0NU,ST583670,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,56.0,20.0,Bristol 053B,South West,,E01014726,E02003064,Bristol 053,91,BS13,28200,BS13 0
2218,BS13 0NW,ST584671,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,38.0,27.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2219,BS13 0NX,ST583671,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,43.0,18.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2220,BS13 0NY,ST583672,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,17.0,7.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2221,BS13 0NZ,ST584673,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,17.0,9.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2222,BS13 0PD,ST585679,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,58.0,20.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2223,BS13 0PH,ST585673,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,25.0,13.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2224,BS13 0PJ,ST586672,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,84.0,29.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2225,BS13 0PL,ST586673,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,26.0,9.0,Bristol 053C,South West,,E01014727,E02003064,Bristol 053,226,BS13,28200,BS13 0
2226,BS13 0PN,ST588672,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,23.0,13.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2227,BS13 0PP,ST588672,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,23.0,12.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2228,BS13 0PR,ST589672,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,20.0,10.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2229,BS13 0PS,ST589673,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,43.0,21.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2230,BS13 0PT,ST589674,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,16.0,8.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2231,BS13 0PU,ST590674,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,18.0,7.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2232,BS13 0PW,ST588673,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,,,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2233,BS13 0PX,ST589673,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,57.0,31.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2234,BS13 0PY,ST590672,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,54.0,22.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2235,BS13 0PZ,ST591673,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,9.0,5.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2236,BS13 0QA,ST590672,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,36.0,21.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2237,BS13 0QB,ST591672,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,36.0,19.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2238,BS13 0QD,ST591672,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,8.0,3.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2239,BS13 0QE,ST592673,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,43.0,15.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2240,BS13 0QF,ST594674,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,33.0,14.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2241,BS13 0QG,ST593674,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,46.0,19.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2242,BS13 0QH,ST591673,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,7.0,4.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2243,BS13 0QJ,ST591674,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,47.0,23.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2244,BS13 0QL,ST592674,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,4.0,3.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2245,BS13 0QN,ST593675,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,57.0,21.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2246,BS13 0QP,ST591675,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,11.0,6.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2247,BS13 0QQ,ST592673,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,35.0,19.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2248,BS13 0QR,ST591674,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,41.0,19.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2249,BS13 0QS,ST590673,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,23.0,8.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2250,BS13 0QT,ST591674,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,28.0,17.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2251,BS13 0QU,ST591674,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,48.0,21.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2252,BS13 0QW,ST593675,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,53.0,25.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2253,BS13 0QX,ST593675,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,77.0,30.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2254,BS13 0QY,ST594675,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,16.0,6.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2255,BS13 0QZ,ST595675,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,10.0,4.0,Bristol 052D,South West,,E01014723,E02003063,Bristol 052,23169,BS13,41600,BS13 0
2256,BS13 0RA,ST595675,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,34.0,16.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2257,BS13 0RB,ST595676,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,31.0,16.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2258,BS13 0RD,ST593676,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,92.0,41.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2259,BS13 0RE,ST591675,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,20.0,7.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2260,BS13 0RF,ST590675,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,65.0,26.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2261,BS13 0RG,ST591677,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,2.0,1.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2262,BS13 0RL,ST591677,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,,,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2263,BS13 0RN,ST588674,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,59.0,32.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2264,BS13 0RP,ST589674,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,67.0,31.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2265,BS13 0RQ,ST589674,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,57.0,19.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2266,BS13 0RR,ST589674,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,45.0,28.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2267,BS13 0RS,ST589675,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,52.0,30.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2268,BS13 0RT,ST589675,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,55.0,29.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2269,BS13 0RU,ST588676,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,55.0,29.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2270,BS13 0RW,ST588674,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,56.0,29.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2271,BS13 0RX,ST588676,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,51.0,30.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2272,BS13 0RY,ST588676,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,70.0,33.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2273,BS13 0RZ,ST588676,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,55.0,30.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2274,BS13 0SA,ST594676,Bristol,"Bristol, City of",Hengrove and Whitchurch Park,E06000023,E05010902,E11000003,Bristol South,31.0,8.0,Bristol 053F,South West,,E01032515,E02003064,Bristol 053,1665,BS13,28200,BS13 0
2275,BS13 0SG,ST581675,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,31.0,10.0,Bristol 053B,South West,,E01014726,E02003064,Bristol 053,91,BS13,28200,BS13 0
2276,BS13 0TB,ST584677,Bristol,"Bristol, City of",Hartcliffe and Withywood,E06000023,E05010900,E11000003,Bristol South,23.0,21.0,Bristol 053E,South West,,E01032514,E02003064,Bristol 053,182,BS13,28200,BS13 0
2277,BS13 7AA,ST577707,Bristol,"Bristol, City of",Bedminster,E06000023,E05010887,E11000003,Bristol South,3.0,1.0,Bristol 039A,South West,,E01014500,E02003050,Bristol 039,13997,BS13,38700,BS13 7
2278,BS13 7AB,ST577706,Bristol,"Bristol, City of",Bedminster,E06000023,E05010887,E11000003,Bristol South,19.0,11.0,Bristol 039A,South West,,E01014500,E02003050,Bristol 039,13997,BS13,38700,BS13 7
2279,BS13 7AD,ST575705,Bristol,"Bristol, City of",Bedminster,E06000023,E05010887,E11000003,Bristol South,14.0,7.0,Bristol 039A,South West,,E01014500,E02003050,Bristol 039,13997,BS13,38700,BS13 7
2280,BS13 7AE,ST575704,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,5.0,1.0,Bristol 046A,South West,,E01014518,E02003057,Bristol 046,14514,BS13,38300,BS13 7
2281,BS13 7AF,ST574703,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,93.0,50.0,Bristol 046A,South West,,E01014518,E02003057,Bristol 046,14514,BS13,38300,BS13 7
2282,BS13 7AH,ST573700,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,17.0,9.0,Bristol 046A,South West,,E01014518,E02003057,Bristol 046,14514,BS13,38300,BS13 7
2283,BS13 7AJ,ST573699,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,61.0,26.0,Bristol 046A,South West,,E01014518,E02003057,Bristol 046,14514,BS13,38300,BS13 7
2284,BS13 7AL,ST573698,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,31.0,12.0,Bristol 046A,South West,,E01014518,E02003057,Bristol 046,14514,BS13,38300,BS13 7
2285,BS13 7AP,ST568696,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,34.0,14.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2286,BS13 7AQ,ST573700,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,28.0,14.0,Bristol 046A,South West,,E01014518,E02003057,Bristol 046,14514,BS13,38300,BS13 7
2287,BS13 7AR,ST569695,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,77.0,33.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2288,BS13 7AS,ST566695,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,9.0,3.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2289,BS13 7AT,ST566695,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,4.0,3.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2290,BS13 7AU,ST569694,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,12.0,10.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2291,BS13 7AW,ST568698,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,5.0,3.0,Bristol 046B,South West,,E01014519,E02003057,Bristol 046,9977,BS13,38300,BS13 7
2292,BS13 7AX,ST565694,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,57.0,24.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2293,BS13 7AY,ST573700,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,11.0,6.0,Bristol 046A,South West,,E01014518,E02003057,Bristol 046,14514,BS13,38300,BS13 7
2294,BS13 7AZ,ST582686,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,,,Bristol 048B,South West,,E01014598,E02003059,Bristol 048,22534,BS13,36600,BS13 7
2295,BS13 7BA,ST582686,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,,,Bristol 048B,South West,,E01014598,E02003059,Bristol 048,22534,BS13,36600,BS13 7
2296,BS13 7BB,ST584685,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,,,Bristol 048B,South West,,E01014598,E02003059,Bristol 048,22534,BS13,36600,BS13 7
2297,BS13 7BD,ST582686,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,,,Bristol 048B,South West,,E01014598,E02003059,Bristol 048,22534,BS13,36600,BS13 7
2298,BS13 7BE,ST582686,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,,,Bristol 048B,South West,,E01014598,E02003059,Bristol 048,22534,BS13,36600,BS13 7
2299,BS13 7BF,ST583685,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,,,Bristol 048B,South West,,E01014598,E02003059,Bristol 048,22534,BS13,36600,BS13 7
2300,BS13 7BG,ST582686,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,,,Bristol 048B,South West,,E01014598,E02003059,Bristol 048,22534,BS13,36600,BS13 7
2301,BS13 7BH,ST582686,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,,,Bristol 048B,South West,,E01014598,E02003059,Bristol 048,22534,BS13,36600,BS13 7
2302,BS13 7BJ,ST575688,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,6.0,3.0,Bristol 048C,South West,,E01014599,E02003059,Bristol 048,20116,BS13,36600,BS13 7
2303,BS13 7BL,ST563692,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,26.0,13.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2304,BS13 7BN,ST564692,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,45.0,21.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2305,BS13 7BP,ST565693,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,70.0,30.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2306,BS13 7BQ,ST575688,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,2.0,1.0,Bristol 048C,South West,,E01014599,E02003059,Bristol 048,20116,BS13,36600,BS13 7
2307,BS13 7BS,ST566694,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,76.0,28.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2308,BS13 7BT,ST566693,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,69.0,31.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2309,BS13 7BU,ST567693,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,40.0,17.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2310,BS13 7BW,ST564693,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,35.0,12.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2311,BS13 7BX,ST567692,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,62.0,23.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2312,BS13 7BY,ST566692,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,67.0,23.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2313,BS13 7BZ,ST566692,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,53.0,22.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2314,BS13 7DA,ST568692,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,9.0,5.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2315,BS13 7DB,ST569690,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,95.0,36.0,Bristol 046D,South West,,E01014521,E02003057,Bristol 046,10716,BS13,38300,BS13 7
2316,BS13 7DD,ST570691,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,86.0,32.0,Bristol 046D,South West,,E01014521,E02003057,Bristol 046,10716,BS13,38300,BS13 7
2317,BS13 7DE,ST568692,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,54.0,19.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2318,BS13 7DF,ST568692,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,64.0,25.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2319,BS13 7DG,ST568694,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,36.0,15.0,Bristol 046C,South West,,E01014520,E02003057,Bristol 046,19975,BS13,38300,BS13 7
2320,BS13 7DP,ST571689,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,7.0,3.0,Bristol 046D,South West,,E01014521,E02003057,Bristol 046,10716,BS13,38300,BS13 7
2321,BS13 7DQ,ST569693,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,,,Bristol 046D,South West,,E01014521,E02003057,Bristol 046,10716,BS13,38300,BS13 7
2322,BS13 7DR,ST570689,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,5.0,3.0,Bristol 046D,South West,,E01014521,E02003057,Bristol 046,10716,BS13,38300,BS13 7
2323,BS13 7DS,ST572698,Bristol,"Bristol, City of",Bishopsworth,E06000023,E05010889,E11000003,Bristol South,53.0,42.0,Bristol 046B,South West,,E01014519,E02003057,Bristol 046,9977,BS13,38300,BS13 7
